Layers,batch_size,epochs,optimizer,loss,Accuracy,Loss,Accuracy_val,Loss_val,Accuracy_test,Loss_test
"[8,D,4,2,1]",16,EarlyStopping(21),Adam(0.01),binary_crossentropy,0.935901939868927,0.15639711916446686,0.9414878487586975,0.14227576553821564,0.9455651640892029,0.13367216289043427
"[32,D,1]",16,EarlyStopping(17),Adam(0.01),binary_crossentropy,0.9548726081848145,0.11109106987714767,0.9577519297599792,0.10206636041402817,0.9587696194648743,0.10367576777935028
"[64,D,32,D,32,1]",16,EarlyStopping(24),Adam(0.01),binary_crossentropy,0.9557815194129944,0.10676946491003036,0.9571744799613953,0.09441537410020828,0.9591546058654785,0.0943501889705658
"[512,D,256,D,128,64,32,1]",16,EarlyStopping(7),Adam(0.01),binary_crossentropy,0.8804551362991333,0.37076881527900696,0.8850928544998169,0.35619521141052246,0.9487218856811523,0.13353104889392853
"[512,D,256,D,1]",16,EarlyStopping(9),Adam(0.01),binary_crossentropy,0.9476757049560547,0.1350451409816742,0.9527475833892822,0.1110941544175148,0.9530720710754395,0.11072395741939545
"[32,D,1]",16,EarlyStopping(25),Adamax(0.01),binary_crossentropy,0.9567439556121826,0.10404187440872192,0.957944393157959,0.09854131191968918,0.9579226970672607,0.09811889380216599
"[64,D,32,D,32,1]",16,EarlyStopping(22),Adamax(0.01),binary_crossentropy,0.9627431631088257,0.08817028254270554,0.9630449414253235,0.08784795552492142,0.9637742638587952,0.08704022318124771
"[512,D,256,D,1]",16,EarlyStopping(14),Adamax(0.01),binary_crossentropy,0.9671703577041626,0.07632859796285629,0.9642960429191589,0.08832007646560669,0.9629657864570618,0.08817645907402039
"[512,D,256,D,128,64,32,1]",16,EarlyStopping(14),Adamax(0.01),binary_crossentropy,0.9662399888038635,0.07811930030584335,0.9650658965110779,0.08530662953853607,0.9646211862564087,0.08522395044565201
"[32,D,1]",16,EarlyStopping(13),Nadam(0.01),binary_crossentropy,0.9545090198516846,0.1116928979754448,0.9575594067573547,0.10353273153305054,0.9578841924667358,0.10431629419326782
"[64,D,32,D,32,1]",16,EarlyStopping(23),Nadam(0.01),binary_crossentropy,0.9582411050796509,0.10212559998035431,0.9602540731430054,0.09709253907203674,0.9597320556640625,0.09197241812944412
"[512,D,256,D,1]",16,EarlyStopping(7),Nadam(0.01),binary_crossentropy,0.9482852816581726,0.13281628489494324,0.9507265686988831,0.11404398083686829,0.9500693082809448,0.11201389878988266
"[512,D,256,D,128,64,32,1]",16,EarlyStopping(5),Nadam(0.01),binary_crossentropy,0.8423534631729126,0.4362555742263794,0.8426523208618164,0.4205159842967987,0.9464505910873413,0.13149459660053253
"[512,D,256,D,128,64,32,1]-tanh",16,EarlyStopping(19),Adamax(0.001),binary_crossentropy,0.9677157402038574,0.07381031662225723,0.9610239863395691,0.08912383019924164,0.9625808596611023,0.08886624872684479
"[512,D,256,D,128,64,32,1]",16,EarlyStopping(16),Adamax(ExponentialDecay),binary_crossentropy,0.9698330760002136,0.0688481330871582,0.9658358097076416,0.08535774797201157,0.964967668056488,0.08408639580011368
"[512,D,256,D,128,64,32,1]",32,EarlyStopping(17),Adamax(ExponentialDecay),binary_crossentropy,0.9699506759643555,0.06841763854026794,0.9650658965110779,0.08482407033443451,0.9648136496543884,0.0831805169582367
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(20),Adamax(ExponentialDecay),binary_crossentropy,0.9713088274002075,0.06510386615991592,0.9645847082138062,0.08789703249931335,0.9649291634559631,0.0840807557106018
"L1_L2_reg - [512,D,256,D,128,64,32,1]",64,EarlyStopping(16),Adamax(ExponentialDecay),binary_crossentropy,0.9684001207351685,0.08089027553796768,0.9636223912239075,0.09474358707666397,0.9659686088562012,0.08972667157649994
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(18),Adamax(ExponentialDecay),binary_crossentropy,0.9698116779327393,0.06772588938474655,0.9641035795211792,0.08659423887729645,0.9628888368606567,0.08563224226236343
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(28),Adamax(ExponentialDecay),square_loss,0.9752761721611023,0.018421964719891548,0.9611201882362366,0.028766943141818047,0.9642747044563293,0.02660563960671425
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(49),Adamax(ExponentialDecay),abs_loss,0.9255611300468445,0.07443613559007645,0.9279183745384216,0.07209162414073944,0.9250462055206299,0.07493838667869568
"[512,D,256,D,128,64,32,1]",64,EarlyStopping(23),Adamax(ExponentialDecay),weighted_binary_crossentropy,0.9652347564697266,0.022702425718307495,0.96208256483078,0.029425330460071564,0.9598090648651123,0.02802281081676483
"BN l1_l2 [512,256,128,64,32,1]",64,EarlyStopping(16),Adamax(ExponentialDecay),binary_crossentropy,0.9667960405349731,0.08421751856803894,0.9648734331130981,0.09008438140153885,0.9642361998558044,0.09066092222929001
